sent_idx,id,source,model,family,n_words,n_diac,tokens_nd,fertility_nd,unk_nd,scr_nd,tokens_d,fertility_d,unk_d,scr_d,delta_tokens,inflation
5527,53688,unknown_local_sample,ro_bert,Monolingual,54,22,65,1.2037037037037037,2,0.15873015873015872,61,1.1296296296296295,2,0.13559322033898305,-4,-0.06153846153846154
5527,53688,unknown_local_sample,robert,Monolingual,54,22,78,1.4444444444444444,0,0.20512820512820512,78,1.4444444444444444,0,0.20512820512820512,0,0.0
5528,285836,unknown_local_sample,mbert,Multilingual,9,5,27,3.0,0,0.4444444444444444,31,3.4444444444444446,0,0.5806451612903226,4,0.14814814814814814
5528,285836,unknown_local_sample,xlmr,Multilingual,9,5,24,2.6666666666666665,0,0.375,27,3.0,0,0.38461538461538464,3,0.125
5528,285836,unknown_local_sample,mt5,Multilingual,9,5,24,2.6666666666666665,0,0.3333333333333333,28,3.111111111111111,0,0.34615384615384615,4,0.16666666666666666
5528,285836,unknown_local_sample,rembert,Multilingual,9,5,25,2.7777777777777777,0,0.4,28,3.111111111111111,0,0.4074074074074074,3,0.12
5528,285836,unknown_local_sample,ro_bert,Monolingual,9,5,21,2.3333333333333335,0,0.3333333333333333,23,2.5555555555555554,0,0.43478260869565216,2,0.09523809523809523
5528,285836,unknown_local_sample,robert,Monolingual,9,5,22,2.4444444444444446,0,0.3181818181818182,24,2.6666666666666665,0,0.375,2,0.09090909090909091
5529,210632,unknown_local_sample,mbert,Multilingual,11,4,25,2.272727272727273,0,0.2,28,2.5454545454545454,0,0.25,3,0.12
5529,210632,unknown_local_sample,xlmr,Multilingual,11,4,24,2.1818181818181817,0,0.25,27,2.4545454545454546,0,0.4074074074074074,3,0.125
5529,210632,unknown_local_sample,mt5,Multilingual,11,4,26,2.3636363636363638,0,0.391304347826087,28,2.5454545454545454,0,0.36,2,0.07692307692307693
5529,210632,unknown_local_sample,rembert,Multilingual,11,4,23,2.090909090909091,0,0.2608695652173913,26,2.3636363636363638,0,0.4230769230769231,3,0.13043478260869565
5529,210632,unknown_local_sample,ro_bert,Monolingual,11,4,19,1.7272727272727273,0,0.21052631578947367,17,1.5454545454545454,0,0.23529411764705882,-2,-0.10526315789473684
