sent_idx,model,family,n_words,n_diac,tokens_nd,fertility_nd,unk_nd,scr_nd,tokens_d,fertility_d,unk_d,scr_d,delta_tokens,inflation
8435,ro_bert,Monolingual,10,6,19,1.9,0,0.21052631578947367,21,2.1,0,0.3333333333333333,2,0.10526315789473684
8435,robert,Monolingual,10,6,19,1.9,0,0.21052631578947367,22,2.2,0,0.3181818181818182,3,0.15789473684210525
8436,mbert,Multilingual,10,5,17,1.7,0,0.23529411764705882,18,1.8,0,0.2777777777777778,1,0.058823529411764705
8436,xlmr,Multilingual,10,5,15,1.5,0,0.13333333333333333,16,1.6,0,0.1875,1,0.06666666666666667
8436,ro_bert,Monolingual,10,5,15,1.5,0,0.13333333333333333,14,1.4,0,0.14285714285714285,-1,-0.06666666666666667
8436,robert,Monolingual,10,5,15,1.5,0,0.13333333333333333,14,1.4,0,0.14285714285714285,-1,-0.06666666666666667
8437,mbert,Multilingual,20,5,35,1.75,0,0.17142857142857143,36,1.8,0,0.19444444444444445,1,0.02857142857142857
8437,xlmr,Multilingual,20,5,30,1.5,0,0.27586206896551724,31,1.55,0,0.26666666666666666,1,0.03333333333333333
8437,ro_bert,Monolingual,20,5,27,1.35,0,0.2222222222222222,25,1.25,0,0.2,-2,-0.07407407407407407
8437,robert,Monolingual,20,5,32,1.6,0,0.3125,28,1.4,0,0.25,-4,-0.125
8438,mbert,Multilingual,13,6,19,1.4615384615384615,0,0.21052631578947367,22,1.6923076923076923,0,0.4090909090909091,3,0.15789473684210525
8438,xlmr,Multilingual,13,6,19,1.4615384615384615,0,0.21052631578947367,19,1.4615384615384615,0,0.21052631578947367,0,0.0
8438,ro_bert,Monolingual,13,6,16,1.2307692307692308,0,0.1875,18,1.3846153846153846,0,0.2222222222222222,2,0.125
8438,robert,Monolingual,13,6,17,1.3076923076923077,0,0.29411764705882354,17,1.3076923076923077,0,0.23529411764705882,0,0.0
8439,mbert,Multilingual,100,30,165,1.65,0,0.1696969696969697,171,1.71,0,0.1871345029239766,6,0.03636363636363636
8439,xlmr,Multilingual,100,30,129,1.29,0,0.13953488372093023,131,1.31,0,0.1297709923664122,2,0.015503875968992248
8439,ro_bert,Monolingual,100,30,119,1.19,0,0.15126050420168066,115,1.15,0,0.1391304347826087,-4,-0.03361344537815126
8439,robert,Monolingual,100,30,148,1.48,0,0.22972972972972974,148,1.48,0,0.22972972972972974,0,0.0
8440,mbert,Multilingual,20,11,43,2.15,0,0.23255813953488372,47,2.35,0,0.3191489361702128,4,0.09302325581395349
8440,xlmr,Multilingual,20,11,39,1.95,0,0.23684210526315788,38,1.9,0,0.21052631578947367,-1,-0.02564102564102564
8440,ro_bert,Monolingual,20,11,32,1.6,0,0.25,31,1.55,0,0.3225806451612903,-1,-0.03125
8440,robert,Monolingual,20,11,33,1.65,0,0.21212121212121213,34,1.7,0,0.23529411764705882,1,0.030303030303030304
8441,mbert,Multilingual,18,4,33,1.8333333333333333,0,0.30303030303030304,35,1.9444444444444444,0,0.4,2,0.06060606060606061
8441,xlmr,Multilingual,18,4,29,1.6111111111111112,0,0.3103448275862069,30,1.6666666666666667,0,0.3333333333333333,1,0.034482758620689655
8441,ro_bert,Monolingual,18,4,27,1.5,0,0.3333333333333333,27,1.5,0,0.3333333333333333,0,0.0
8441,robert,Monolingual,18,4,26,1.4444444444444444,0,0.34615384615384615,27,1.5,0,0.37037037037037035,1,0.038461538461538464
8442,mbert,Multilingual,17,8,32,1.8823529411764706,0,0.15625,34,2.0,0,0.23529411764705882,2,0.0625
8442,xlmr,Multilingual,17,8,29,1.7058823529411764,0,0.13793103448275862,31,1.8235294117647058,0,0.13333333333333333,2,0.06896551724137931
8442,ro_bert,Monolingual,17,8,25,1.4705882352941178,0,0.12,24,1.411764705882353,0,0.125,-1,-0.04
8442,robert,Monolingual,17,8,26,1.5294117647058822,0,0.11538461538461539,25,1.4705882352941178,0,0.08,-1,-0.038461538461538464
8443,mbert,Multilingual,25,8,51,2.04,0,0.17647058823529413,51,2.04,0,0.23529411764705882,0,0.0
8443,xlmr,Multilingual,25,8,47,1.88,0,0.2127659574468085,47,1.88,0,0.23404255319148937,0,0.0
8443,ro_bert,Monolingual,25,8,38,1.52,0,0.21052631578947367,33,1.32,0,0.21212121212121213,-5,-0.13157894736842105
8443,robert,Monolingual,25,8,45,1.8,0,0.3111111111111111,43,1.72,0,0.27906976744186046,-2,-0.044444444444444446
8444,mbert,Multilingual,13,0,26,2.0,0,0.2692307692307692,26,2.0,0,0.2692307692307692,0,0.0
8444,xlmr,Multilingual,13,0,24,1.8461538461538463,0,0.21739130434782608,24,1.8461538461538463,0,0.21739130434782608,0,0.0
8444,ro_bert,Monolingual,13,0,22,1.6923076923076923,0,0.045454545454545456,22,1.6923076923076923,0,0.045454545454545456,0,0.0
8444,robert,Monolingual,13,0,24,1.8461538461538463,0,0.041666666666666664,24,1.8461538461538463,0,0.041666666666666664,0,0.0
8445,mbert,Multilingual,24,7,40,1.6666666666666667,0,0.175,39,1.625,0,0.15384615384615385,-1,-0.025
8445,xlmr,Multilingual,24,7,32,1.3333333333333333,0,0.125,33,1.375,0,0.12121212121212122,1,0.03125
8445,ro_bert,Monolingual,24,7,28,1.1666666666666667,0,0.14285714285714285,26,1.0833333333333333,0,0.11538461538461539,-2,-0.07142857142857142
8445,robert,Monolingual,24,7,35,1.4583333333333333,0,0.17142857142857143,35,1.4583333333333333,0,0.17142857142857143,0,0.0
8446,mbert,Multilingual,12,4,24,2.0,0,0.20833333333333334,25,2.0833333333333335,0,0.2,1,0.041666666666666664
8446,xlmr,Multilingual,12,4,18,1.5,0,0.1111111111111111,19,1.5833333333333333,0,0.10526315789473684,1,0.05555555555555555
8446,ro_bert,Monolingual,12,4,19,1.5833333333333333,0,0.21052631578947367,18,1.5,0,0.2222222222222222,-1,-0.05263157894736842
8446,robert,Monolingual,12,4,22,1.8333333333333333,0,0.22727272727272727,22,1.8333333333333333,0,0.22727272727272727,0,0.0
8447,mbert,Multilingual,17,9,34,2.0,0,0.058823529411764705,35,2.0588235294117645,0,0.08571428571428572,1,0.029411764705882353
8447,xlmr,Multilingual,17,9,29,1.7058823529411764,0,0.10344827586206896,32,1.8823529411764706,0,0.15625,3,0.10344827586206896
8447,ro_bert,Monolingual,17,9,23,1.3529411764705883,0,0.08695652173913043,20,1.1764705882352942,0,0.1,-3,-0.13043478260869565
8447,robert,Monolingual,17,9,29,1.7058823529411764,0,0.10344827586206896,28,1.6470588235294117,0,0.10714285714285714,-1,-0.034482758620689655
8448,mbert,Multilingual,11,5,24,2.1818181818181817,0,0.2916666666666667,26,2.3636363636363638,0,0.34615384615384615,2,0.08333333333333333
8448,xlmr,Multilingual,11,5,22,2.0,0,0.22727272727272727,23,2.090909090909091,0,0.21739130434782608,1,0.045454545454545456
8448,ro_bert,Monolingual,11,5,19,1.7272727272727273,0,0.2631578947368421,18,1.6363636363636365,0,0.2777777777777778,-1,-0.05263157894736842
8448,robert,Monolingual,11,5,21,1.9090909090909092,0,0.2857142857142857,20,1.8181818181818181,0,0.3,-1,-0.047619047619047616
8449,mbert,Multilingual,3,1,6,2.0,0,0.16666666666666666,7,2.3333333333333335,0,0.14285714285714285,1,0.16666666666666666
8449,xlmr,Multilingual,3,1,6,2.0,0,0.16666666666666666,7,2.3333333333333335,0,0.2857142857142857,1,0.16666666666666666
8449,ro_bert,Monolingual,3,1,6,2.0,0,0.16666666666666666,5,1.6666666666666667,0,0.2,-1,-0.16666666666666666
8449,robert,Monolingual,3,1,6,2.0,0,0.3333333333333333,5,1.6666666666666667,0,0.4,-1,-0.16666666666666666
8450,mbert,Multilingual,23,4,48,2.0869565217391304,0,0.2708333333333333,48,2.0869565217391304,0,0.2916666666666667,0,0.0
8450,xlmr,Multilingual,23,4,43,1.8695652173913044,0,0.27906976744186046,44,1.9130434782608696,0,0.2727272727272727,1,0.023255813953488372
8450,ro_bert,Monolingual,23,4,38,1.6521739130434783,0,0.34210526315789475,38,1.6521739130434783,0,0.34210526315789475,0,0.0
8450,robert,Monolingual,23,4,43,1.8695652173913044,0,0.2558139534883721,43,1.8695652173913044,0,0.2558139534883721,0,0.0
8451,mbert,Multilingual,30,15,58,1.9333333333333333,0,0.15517241379310345,63,2.1,0,0.23809523809523808,5,0.08620689655172414
8451,xlmr,Multilingual,30,15,48,1.6,0,0.125,51,1.7,0,0.18,3,0.0625
8451,ro_bert,Monolingual,30,15,41,1.3666666666666667,0,0.17073170731707318,41,1.3666666666666667,0,0.17073170731707318,0,0.0
8451,robert,Monolingual,30,15,45,1.5,0,0.15555555555555556,44,1.4666666666666666,0,0.13636363636363635,-1,-0.022222222222222223
8452,mbert,Multilingual,37,7,65,1.7567567567567568,0,0.23076923076923078,66,1.7837837837837838,0,0.22727272727272727,1,0.015384615384615385
8452,xlmr,Multilingual,37,7,65,1.7567567567567568,0,0.24615384615384617,67,1.8108108108108107,0,0.22388059701492538,2,0.03076923076923077
8452,ro_bert,Monolingual,37,7,62,1.6756756756756757,0,0.24193548387096775,57,1.5405405405405406,0,0.22807017543859648,-5,-0.08064516129032258
8452,robert,Monolingual,37,7,66,1.7837837837837838,0,0.21212121212121213,66,1.7837837837837838,0,0.24242424242424243,0,0.0
8453,mbert,Multilingual,17,15,42,2.4705882352941178,0,0.2619047619047619,49,2.8823529411764706,0,0.3877551020408163,7,0.16666666666666666
8453,xlmr,Multilingual,17,15,33,1.9411764705882353,0,0.24242424242424243,39,2.2941176470588234,0,0.358974358974359,6,0.18181818181818182
8453,ro_bert,Monolingual,17,15,32,1.8823529411764706,0,0.25,27,1.588235294117647,0,0.25925925925925924,-5,-0.15625
